time (s),getData(":pwr" ?result "tran") (W)
14.78E-9,424.7E-6
14.79E-9,460.8E-6
14.79E-9,470.9E-6
14.80E-9,460.1E-6
14.81E-9,424.9E-6
14.81E-9,394.2E-6
14.82E-9,357.8E-6
14.83E-9,317.5E-6
14.84E-9,253.5E-6
14.85E-9,182.4E-6
14.87E-9,129.0E-6
14.89E-9,97.54E-6
14.92E-9,85.65E-6
14.94E-9,82.16E-6
14.96E-9,81.05E-6
14.99E-9,80.68E-6
15.02E-9,80.54E-6
15.06E-9,80.46E-6
15.11E-9,80.40E-6
15.18E-9,80.34E-6
15.28E-9,80.26E-6
15.45E-9,80.18E-6
15.71E-9,80.09E-6
16.00E-9,80.02E-6
16.45E-9,79.96E-6
17.16E-9,79.89E-6
17.58E-9,79.86E-6
18.00E-9,79.84E-6
18.00E-9,93.18E-6
18.01E-9,116.0E-6
18.01E-9,129.2E-6
18.02E-9,225.3E-6
18.02E-9,406.6E-6
18.03E-9,677.8E-6
18.03E-9,898.1E-6
18.03E-9,1.114E-3
18.04E-9,1.191E-3
18.04E-9,1.255E-3
18.04E-9,1.286E-3
18.04E-9,1.302E-3
18.05E-9,1.287E-3
18.05E-9,1.247E-3
18.05E-9,1.195E-3
18.05E-9,1.137E-3
18.05E-9,1.085E-3
18.06E-9,1.013E-3
18.06E-9,954.5E-6
18.06E-9,908.1E-6
18.06E-9,896.1E-6
18.07E-9,892.5E-6
18.07E-9,890.2E-6
18.07E-9,886.3E-6
18.07E-9,879.1E-6
18.08E-9,872.9E-6
18.08E-9,866.6E-6
18.08E-9,859.6E-6
18.09E-9,850.7E-6
18.09E-9,840.9E-6
18.10E-9,832.2E-6
18.10E-9,821.9E-6
18.11E-9,816.7E-6
18.11E-9,815.1E-6
18.11E-9,817.6E-6
18.12E-9,826.7E-6
18.12E-9,839.7E-6
18.13E-9,860.3E-6
18.13E-9,875.7E-6
18.14E-9,884.5E-6
18.14E-9,894.1E-6
18.14E-9,909.8E-6
18.15E-9,932.2E-6
18.15E-9,955.3E-6
18.15E-9,979.3E-6
18.16E-9,1.012E-3
18.16E-9,1.047E-3
18.16E-9,1.087E-3
18.17E-9,1.128E-3
18.17E-9,1.189E-3
18.18E-9,1.260E-3
18.18E-9,1.347E-3
18.18E-9,1.425E-3
18.19E-9,1.506E-3
18.19E-9,1.545E-3
18.19E-9,1.574E-3
18.20E-9,1.601E-3
18.20E-9,1.628E-3
18.21E-9,1.667E-3
18.21E-9,1.724E-3
18.22E-9,1.823E-3
18.22E-9,1.949E-3
18.23E-9,2.056E-3
18.23E-9,2.135E-3
18.24E-9,2.155E-3
18.24E-9,2.130E-3
18.25E-9,2.094E-3
18.25E-9,2.157E-3
18.26E-9,2.335E-3
18.27E-9,2.536E-3
18.27E-9,2.633E-3
18.28E-9,2.629E-3
18.28E-9,2.560E-3
18.29E-9,2.434E-3
18.29E-9,2.273E-3
